Tweet,Sentiment
b' @brianstelter @CNN So its ok for CNN to release HR statements on their employee by saying he gave them headaches w\ https://t.co/VDq9hXo7no',0
b' @nelumoriko same im going out too /neg',1
b' doing gods work /neg https://t.co/BNdUHwalNV https://t.co/YCoOrqrmGZ',1
"b""RT @Being_romeli: @M_S_B_I Desperation Ek toh ASR already neg who r plotting behind Adi's back A hero never b coward like him so ye chind\""",1
b' //c!niki neg   said once and Ill say it again c!niki is a fucking hypocrite https://t.co/O5hAeSGUWe',0
b' RT @askomiw150: Nisikotokil tuciw nekolit amuhshopihq ( nizz- ig-duh-gill -doo-jiw neg-lid-ahh-muss-huh-beek)two years cancer free today! J\',1
b' @crotchner Guys with the neg to snatch a cute girl. Dont fall for it.',1
b' RT @BUNNIC4KE: / c!phil neg  we can all agree that c!phil having c!tommy put his valuable item on the ground and burning it was just ... no\',0
"b""@timspector Tim two papers estimated PCR false negatives at 30% - 34%  That could have a huge effect  I'm convinced\ https://t.co/P36pzUVHFx""",0
"b' RT @dr3amofagame: /dsmp /roleplay  // c!sam neg , manipulation , abuse , torture mentions  thinking about . c!dream\'s emphasis on ""no one b\'",0
b' Donald Trump sent out the statement below. Do you think he understands what a double neg does to the meaning of a s\ https://t.co/6PWwu9PXfP',0
b' @sunnysapss kwt fic ily /neg',1
"b""@EricBoehlert Your comments on @ReliableSources were right on the mark on Biden's poor support and inflation vs economy neg reporting""",1
"b' RT @eternitwt: / manipulation implied , dream neg in clip   its nice to see a creator finally defending dream when creeps is twist words a\'",0
"b' @Glass_Acho m8 im gonna block you if you dont stop responding to my tweets with c!phil neg, it should be pretty c\ https://t.co/mwOLNr5cPl'",0
"b""@M_S_B_I Desperation Ek toh ASR already neg who r plotting behind Adi's back A hero never b coward like him so ye\ https://t.co/u1X4PzMbmZ""",1
b' @qai_yuh @annoyingfansotd I. PASSING AWAY/NEG',0
b' // religion ment  these fuckers tricked me i thought i was goin to my aunties house but theyre taking me to church wtf /neg',0
b' RT @chrischirp: This is insane. All 120 people were vaccinated and had neg test before attendance. The index person had returned from SA ju\',0
b' weezer fan /neg',0
b' RT @Mitchell_Bay7: Attended a large event that reqd. a vax card or a neg. test. I feel guilty about going b/c I do not support vax discrimi\',1
b' my bmi is 16.8 now /neg',0
"b' You people are SICK. Why would you tweet ""goro neg"" when akechi is a comfort for so many people DID YOU EVEN CONSID\ https://t.co/7T9SoIrbj5'",1
"b' COVID UPDATE 12/5: 11/25, weekly avg. was 4.3.  12/4, 1 pos. and 47 neg. tests.  Number of ppl vaccinated in Alachu\ https://t.co/GSQMtfL5GG'",1
b' RT @luvctommy: // c!phil neg  cphil shut up thank you',0
b' @bellringerwins A guy rode in my truck for 4 days then tested pos I got tested was neg he took 2 days off work and\ https://t.co/WZVVV8yhDO',0
b' @hydethefrench except if youre guil  then its /neg',0
b' hispanic moms shaming their big breasted daughters for not having tits that defy gravity /neg',0
b' wait its sunday ..  /neg',0
b' @fluffyraccns @SapnapLIVE yea im tired of getting tweets recommended that literally have //[mcyt] neg like i lov\ https://t.co/BaBWYb1mfN',0
"b""@LesStonehouse The country is awash with investors and dirty money. Wages aren't keeping pace so who's going to be\ https://t.co/QCm0XEPyD7""",0
b' @mwakDwt IM NOT THERE SLASH NEG',0
b' WHYY:( THIS IS SO??? /NEG',0
b' @colnoc77 Wondering the same. Feeling ROTTEN (self isolating) with a few known Covod symptoms and yet a neg pcr and negative antigen test.',0
"b' c!phil neg  last two lore streams made me hate c!phil UPVOTE WHO DOES HE THINK HE IS. TO KILL HIS SON, AND THEN A\ https://t.co/6rv2Z8LG15'",0
b' the way neg of my fav ccs affects me so much to the point i feel ill wow this is bad',1
b' the texture of mozzarella/neg',0
b' school + work /neg',0
b' || notification glitch /neg',0
b' RT @justloo30794050: @nodramalama6 @Milena52769243 @Tedsmomma He SO needs to Instruct a lawyer who deals in medical negligence (if same hos\',1
b' @Thecoffeebeam1 @CRKingdomEN Idk but i hope they are /pos not /neg ',1
"b' RT @emkay_boo: No actually, I like c!Dream and his little demented ways. c!Sam, on the other hand, is a bitch and I will fight him given th\'",0
